"questionNumber","category","difficulty","latencySeconds","structureValid","question","answer1","answer2","answer3","answer4","markedCorrectAnswer","factualStatus","sourceUrl","reviewNotes"
"11","Geography","Easy","1.633","True","What is the largest continent on Earth?","Africa","Asia","Europe","Australia","Asia","Correct","https://www.britannica.com/place/Asia","Asia is the largest continent."
"12","Geography","Easy","1.896","True","Which river is the longest in the world?","Amazon River","Nile River","Yangtze River","Mississippi River","Nile River","Ambiguous","https://www.britannica.com/place/Nile-River","The Nile is conventionally listed as longest, but measurements and the Amazon claim remain disputed."
"13","Geography","Easy","1.883","True","Which country is known as the Land of the Rising Sun?","China","Japan","Thailand","South Korea","Japan","Correct","https://www.britannica.com/place/Japan","Japan is conventionally called the Land of the Rising Sun."
"14","Geography","Easy","2.277","True","What is the capital city of France?","Rome","Berlin","Paris","Madrid","Paris","Correct","https://www.britannica.com/place/Paris","Paris is the capital of France."
"15","Geography","Medium","1.894","True","Which desert is the largest hot desert in the world?","Gobi Desert","Sahara Desert","Kalahari Desert","Atacama Desert","Sahara Desert","Correct","https://www.britannica.com/place/Sahara-desert-Africa","The Sahara is the largest hot desert."
"16","Geography","Medium","1.535","True","Which mountain range separates Europe from Asia?","Andes","Rockies","Urals","Himalayas","Urals","Correct","https://www.britannica.com/place/Ural-Mountains","The Urals form a conventional boundary between Europe and Asia."
"17","Geography","Medium","2.061","True","Which country has the most natural lakes?","Canada","Russia","United States","Brazil","Canada","Correct","https://www.canada.ca/en/environment-climate-change/services/water-overview.html","Canada is generally identified as having more lakes than any other country."
"18","Geography","Hard","2.22","True","What is the lowest point on land in the world?","Mariana Trench","Dead Sea","Great Barrier Reef","Lake Baikal","Dead Sea","Correct","https://www.britannica.com/place/Dead-Sea","The shores of the Dead Sea are Earth's lowest exposed land point."
"19","Geography","Hard","1.616","True","Which country possesses the largest island in the world?","Australia","Denmark","Greenland","Canada","Greenland","Incorrect","https://denmark.dk/people-and-culture/greenland","Greenland is the largest island, but it is not a country among the choices; it is an autonomous territory in the Kingdom of Denmark. The question asks which country possesses it."
"20","Geography","Hard","1.69","True","What is the name of the tectonic plate that includes most of North America?","Eurasian Plate","African Plate","North American Plate","South American Plate","North American Plate","Correct","https://pubs.usgs.gov/gip/dynamic/slabs.html","Most of North America lies on the North American Plate."
"21","Science","Easy","1.845","True","What is the chemical symbol for water?","H2O","CO2","O2","NaCl","H2O","Correct","https://pubchem.ncbi.nlm.nih.gov/compound/Water","Water has the molecular formula H2O."
"22","Science","Easy","1.864","True","What planet is known as the Red Planet?","Mars","Jupiter","Venus","Saturn","Mars","Correct","https://science.nasa.gov/mars/","Mars is known as the Red Planet."
"23","Science","Easy","2.997","True","What is the powerhouse of the cell?","Mitochondria","Nucleus","Ribosome","Endoplasmic Reticulum","Mitochondria","Correct","https://www.genome.gov/genetics-glossary/Mitochondria","Mitochondria are commonly described as cellular powerhouses."
"24","Science","Easy","2.46","True","What gas do plants absorb from the atmosphere during photosynthesis?","Carbon Dioxide","Oxygen","Nitrogen","Hydrogen","Carbon Dioxide","Correct","https://earthobservatory.nasa.gov/features/CarbonCycle/page2.php","Photosynthesis removes carbon dioxide from the atmosphere."
"25","Science","Medium","2.143","True","What is the primary component of the Earth's atmosphere?","Nitrogen","Oxygen","Carbon Dioxide","Argon","Nitrogen","Correct","https://science.nasa.gov/earth/facts/","Nitrogen is the main component of Earth's atmosphere."
"26","Science","Medium","2.395","True","What type of bond involves the sharing of electron pairs between atoms?","Covalent Bond","Ionic Bond","Hydrogen Bond","Metallic Bond","Covalent Bond","Correct","https://goldbook.iupac.org/terms/view/C01384","A covalent bond involves shared electron pairs."
"27","Science","Medium","2.396","True","What is the process by which substances transition from a gas to a liquid?","Condensation","Evaporation","Sublimation","Precipitation","Condensation","Correct","https://www.britannica.com/science/condensation-phase-change","Gas-to-liquid transition is condensation."
"28","Science","Hard","2.541","True","What is the name of the phenomenon where light bends as it passes from one medium to another?","Refraction","Reflection","Diffraction","Transmission","Refraction","Correct","https://www.britannica.com/science/refraction","Bending at a boundary between media is refraction."
"29","Science","Hard","2.195","True","What is the name of the process by which a cell engulfs material from its environment?","Endocytosis","Exocytosis","Transcription","Diffusion","Endocytosis","Correct","https://www.britannica.com/science/endocytosis","Endocytosis is cellular uptake by membrane engulfment."
"30","Science","Hard","2.395","True","What is the scientific term for the effect that causes the observed frequency of a wave to change due to the motion of the source or observer?","Doppler Effect","Diffraction","Interference","Refraction","Doppler Effect","Correct","https://www.britannica.com/science/Doppler-effect","The described frequency shift is the Doppler effect."
"31","Technology","Easy","1.944","True","What is the primary function of a web browser?","To send emails","To edit documents","To browse and view websites","To play video games","To browse and view websites","Correct","https://developer.mozilla.org/en-US/docs/Glossary/Browser","A browser retrieves and displays web content."
"32","Technology","Easy","2.012","True","What does HTML stand for?","HyperText Markup Language","HighText Machine Language","Hyperlink and Text Markup Language","HyperText Multi Language","HyperText Markup Language","Correct","https://developer.mozilla.org/en-US/docs/Web/HTML","HTML stands for HyperText Markup Language."
"33","Technology","Easy","2.018","True","Which company developed the Windows operating system?","Apple","Microsoft","Google","IBM","Microsoft","Correct","https://news.microsoft.com/facts-about-microsoft/","Windows is developed by Microsoft."
"34","Technology","Easy","1.978","True","What does the acronym 'USB' stand for in technology?","Universal Serial Bus","United Service Bank","Universal Synchronous Bandwidth","Universal System Base","Universal Serial Bus","Correct","https://www.usb.org/","USB stands for Universal Serial Bus."
"35","Technology","Medium","1.964","True","What is the main purpose of a VPN?","To increase internet speed","To provide public Wi-Fi access","To create a secure connection over the internet","To block advertisements","To create a secure connection over the internet","Correct","https://www.cisa.gov/news-events/news/virtual-private-network-vpn-security","A VPN creates a protected connection across an untrusted network."
"36","Technology","Medium","1.901","True","Which programming language is known as the backbone of web development?","Python","JavaScript","Java","C++","JavaScript","Ambiguous","https://developer.mozilla.org/en-US/docs/Web/JavaScript","JavaScript is fundamental to interactive web development, but 'the backbone' is subjective and HTML/CSS are also foundational."
"37","Technology","Medium","2.486","True","What technology does '2FA' refer to in online security?","Two-Factor Authentication","Two-Fold Algorithm","Two-File Access","Two-Factor Agreement","Two-Factor Authentication","Correct","https://pages.nist.gov/800-63-3/sp800-63b.html","2FA means two-factor authentication."
"38","Technology","Hard","1.998","True","What is the function of the 'root' user in a Unix/Linux system?","Regular user account","Guest account with limited permissions","Administrative account with full permissions","Account for managing network connections","Administrative account with full permissions","Correct","https://www.redhat.com/en/blog/linux-root-user","root is the privileged administrative account on Unix-like systems."
"39","Technology","Hard","2.336","True","Which protocol is used for secure data transmission over a computer network?","FTP","HTTP","SSH","TLS/SSL","TLS/SSL","Ambiguous","https://www.rfc-editor.org/rfc/rfc8446","TLS secures data in transit, but SSH is also a secure network protocol and is another offered option."
"40","Technology","Hard","2.844","True","What is the primary function of a DNS server in a network?","To store website content","To block harmful websites","To convert domain names to IP addresses","To encrypt data transmitted online","To convert domain names to IP addresses","Correct","https://www.icann.org/resources/pages/dns-2022-09-13-en","DNS maps domain names to IP addresses."
"41","General Knowledge","Easy","2.074","True","What is the capital of France?","Berlin","Madrid","Rome","Paris","Paris","Correct","https://www.britannica.com/place/Paris","Paris is the capital of France."
"42","General Knowledge","Easy","1.819","True","Which planet is known as the Red Planet?","Mars","Jupiter","Venus","Saturn","Mars","Correct","https://science.nasa.gov/mars/","Mars is known as the Red Planet."
"43","General Knowledge","Easy","2.973","True","What is the largest mammal in the world?","Elephant","Blue Whale","Giraffe","Great White Shark","Blue Whale","Correct","https://www.fisheries.noaa.gov/species/blue-whale","The blue whale is the largest animal and mammal."
"44","General Knowledge","Easy","1.804","True","What is the main ingredient in guacamole?","Tomato","Avocado","Onion","Pepper","Avocado","Correct","https://www.britannica.com/topic/guacamole","Avocado is the main ingredient in guacamole."
"45","General Knowledge","Medium","1.871","True","Who wrote the play 'Romeo and Juliet'?","Charles Dickens","George Bernard Shaw","William Shakespeare","Mark Twain","William Shakespeare","Correct","https://www.rsc.org.uk/romeo-and-juliet/about-the-play","Romeo and Juliet was written by William Shakespeare."
"46","General Knowledge","Medium","1.566","True","What is the largest organ in the human body?","Heart","Liver","Skin","Lungs","Skin","Correct","https://www.ncbi.nlm.nih.gov/books/NBK470464/","The skin is the largest organ of the human body."
"47","General Knowledge","Medium","2.593","True","Which element has the chemical symbol 'O'?","Osmium","Oxygen","Gold","Carbon","Oxygen","Correct","https://iupac.org/what-we-do/periodic-table-of-elements/","O is the chemical symbol for oxygen."
"48","General Knowledge","Hard","1.906","True","What is the term for a word that is similar in meaning to another word?","Antonym","Homonym","Synonym","Acronym","Synonym","Correct","https://www.merriam-webster.com/dictionary/synonym","A synonym has the same or nearly the same meaning as another word."
"49","General Knowledge","Hard","2.294","True","What is the capital of Iceland?","Copenhagen","Oslo","Reykjavik","Stockholm","Reykjavik","Correct","https://www.government.is/topics/foreign-affairs/diplomatic-missions/about-iceland/","Reykjavik is the capital of Iceland."
"50","General Knowledge","Hard","1.739","True","What is the name of the longest river in South America?","Amazon River","Nile River","Yangtze River","Mississippi River","Amazon River","Correct","https://www.britannica.com/place/Amazon-River","The Amazon is the longest river in South America."
